asv_id,DC01,DC02,DC30,DC31
ASV_1,0,28,27,5406
ASV_2,0,0,3077,0
ASV_3,0,0,2667,0
ASV_4,46,0,2400,215
ASV_5,552,467,177,832
ASV_6,0,0,1990,0
ASV_7,0,0,1964,25
ASV_8,0,0,1900,0
ASV_9,0,105,1276,429
ASV_10,118,238,1252,179
ASV_11,102,0,1360,169
ASV_12,581,37,462,401
ASV_13,10,748,11,551
ASV_14,0,2,116,1181
ASV_15,0,0,1282,0
ASV_16,0,0,823,272
ASV_17,0,0,0,1080
ASV_18,278,256,78,356
ASV_19,53,80,520,276
ASV_20,177,241,216,293
ASV_21,22,355,0,474
ASV_22,0,0,0,810
ASV_23,0,705,0,0
ASV_24,0,0,446,216
ASV_25,0,0,651,0
ASV_26,8,0,620,10
ASV_27,0,0,599,0
ASV_28,45,47,234,212
ASV_29,37,236,0,233
ASV_30,0,0,0,503
ASV_31,171,31,269,0
ASV_32,0,89,240,135
ASV_33,20,0,157,283
ASV_34,188,264,2,2
ASV_35,0,0,426,0
ASV_36,0,8,336,73
ASV_37,0,0,0,393
ASV_38,0,0,369,0
ASV_39,107,0,25,227
ASV_40,41,179,0,130
ASV_41,60,8,168,98
ASV_42,0,0,330,3
ASV_43,0,0,0,327
ASV_44,7,23,16,279
ASV_45,200,100,20,0
ASV_46,9,0,189,119
ASV_47,0,311,0,0
ASV_48,4,0,71,228
ASV_49,0,0,260,43
ASV_50,249,0,40,4
ASV_51,0,0,252,36
ASV_52,282,0,0,0
ASV_53,0,0,278,0
ASV_54,0,278,0,0
ASV_55,0,0,274,0
ASV_56,0,0,267,0
ASV_57,0,0,267,0
ASV_58,0,180,48,38
ASV_59,0,142,30,89
ASV_60,0,0,256,0
ASV_61,0,0,254,0
ASV_62,0,0,250,0
ASV_63,0,158,86,0
ASV_64,0,0,240,0
ASV_65,0,0,234,0
ASV_66,0,0,232,0
ASV_67,25,76,123,6
ASV_68,0,83,145,0
ASV_69,0,0,227,0
ASV_70,0,0,0,227
ASV_71,0,0,0,209
ASV_72,0,0,0,195
ASV_73,0,6,129,59
ASV_74,66,127,0,0
ASV_75,0,0,190,0
ASV_76,189,0,0,0
ASV_77,0,188,0,0
ASV_78,0,0,167,0
ASV_79,0,0,161,0
ASV_80,0,0,158,0
ASV_81,0,0,157,0
ASV_82,0,0,157,0
ASV_83,0,0,155,0
ASV_84,0,0,0,155
ASV_85,72,15,0,65
ASV_86,0,0,0,150
ASV_87,146,0,0,0
ASV_88,17,0,115,11
ASV_89,55,3,70,13
ASV_90,0,141,0,0
ASV_91,0,0,139,0
ASV_92,16,0,6,113
ASV_93,23,0,0,111
ASV_94,0,0,134,0
ASV_95,65,20,0,48
ASV_96,0,0,130,0
ASV_97,0,0,125,0
ASV_98,100,0,23,0
ASV_99,12,22,87,0
ASV_100,0,0,119,0
ASV_101,0,0,118,0
ASV_102,0,0,116,0
ASV_103,12,38,0,62
ASV_104,0,0,111,0
ASV_105,0,0,111,0
ASV_106,8,3,29,66
ASV_107,0,0,106,0
ASV_108,0,0,106,0
ASV_109,0,0,63,43
ASV_110,0,0,0,102
ASV_111,31,5,0,65
ASV_112,0,0,0,100
ASV_113,0,0,97,0
ASV_114,0,0,0,95
ASV_115,0,0,0,89
ASV_116,0,0,0,88
ASV_117,0,0,86,0
ASV_118,45,21,10,9
ASV_119,0,0,85,0
ASV_120,0,0,77,0
ASV_121,0,0,76,0
ASV_122,0,0,34,40
ASV_123,0,0,23,51
ASV_124,0,0,72,0
ASV_125,0,0,46,26
ASV_126,0,0,68,0
ASV_127,0,67,0,0
ASV_128,0,0,0,67
ASV_129,0,0,34,30
ASV_130,0,0,63,0
ASV_131,0,0,63,0
ASV_132,0,0,22,41
ASV_133,0,0,60,0
ASV_134,0,57,0,0
ASV_135,0,56,0,0
ASV_136,0,16,0,39
ASV_137,0,0,54,0
ASV_138,0,0,54,0
ASV_139,0,18,34,0
ASV_140,0,0,0,51
ASV_141,0,0,0,51
ASV_142,0,48,0,0
ASV_143,0,0,47,0
ASV_144,0,0,47,0
ASV_145,46,0,0,0
ASV_146,0,0,0,45
ASV_147,0,0,0,45
ASV_148,0,0,44,0
ASV_149,0,44,0,0
ASV_150,0,0,43,0
ASV_151,0,0,42,0
ASV_152,0,42,0,0
ASV_153,0,0,41,0
ASV_154,0,41,0,0
ASV_155,0,0,0,41
ASV_156,40,0,0,0
ASV_157,0,0,40,0
ASV_158,39,0,0,0
ASV_159,0,0,38,0
ASV_160,0,0,38,0
ASV_161,0,0,37,0
ASV_162,0,0,37,0
ASV_163,0,0,0,37
ASV_164,0,0,36,0
ASV_165,0,0,36,0
ASV_166,0,0,0,36
ASV_167,35,0,0,0
ASV_168,0,0,35,0
ASV_169,0,0,34,0
ASV_170,0,0,34,0
ASV_171,0,0,34,0
ASV_172,0,0,33,0
ASV_173,0,33,0,0
ASV_174,0,0,0,33
ASV_175,32,0,0,0
ASV_176,32,0,0,0
ASV_177,0,0,32,0
ASV_178,31,0,0,0
ASV_179,0,0,31,0
ASV_180,0,0,0,31
ASV_181,0,0,0,30
ASV_182,0,0,29,0
ASV_183,0,0,29,0
ASV_184,0,0,28,0
ASV_185,0,0,28,0
ASV_186,0,0,27,0
ASV_187,0,0,0,27
ASV_188,0,0,26,0
ASV_189,0,0,26,0
ASV_190,0,0,26,0
ASV_191,0,0,26,0
ASV_192,0,0,25,0
ASV_193,0,0,24,0
ASV_194,0,0,24,0
ASV_195,0,0,0,24
ASV_196,0,0,0,24
ASV_197,0,0,0,24
ASV_198,0,0,23,0
ASV_199,22,0,0,0
ASV_200,0,0,22,0
ASV_201,0,0,21,0
ASV_202,0,21,0,0
ASV_203,0,0,0,20
ASV_204,0,0,0,20
ASV_205,0,0,19,0
ASV_206,0,0,19,0
ASV_207,0,0,19,0
ASV_208,0,0,19,0
ASV_209,0,0,18,0
ASV_210,0,0,18,0
ASV_211,0,0,0,18
ASV_212,0,0,0,18
ASV_213,16,0,0,0
ASV_214,0,0,16,0
ASV_215,0,0,16,0
ASV_216,0,0,0,16
ASV_217,0,0,14,0
ASV_218,0,0,14,0
ASV_219,0,0,13,0
ASV_220,0,0,12,0
ASV_221,0,0,11,0
ASV_222,0,0,11,0
ASV_223,0,0,11,0
ASV_224,10,0,0,0
ASV_225,0,0,10,0
ASV_226,0,0,10,0
ASV_227,0,0,10,0
ASV_228,0,0,10,0
ASV_229,0,0,0,10
ASV_230,0,0,0,10
ASV_231,0,0,9,0
ASV_232,0,0,9,0
ASV_233,8,0,0,0
ASV_234,0,0,8,0
ASV_235,0,0,8,0
ASV_236,0,0,7,0
ASV_237,0,0,7,0
ASV_238,0,7,0,0
ASV_239,0,0,0,7
ASV_240,0,0,6,0
ASV_241,0,0,0,6
ASV_242,0,0,5,0
ASV_243,0,0,5,0
ASV_244,0,0,5,0
ASV_245,0,0,0,5
ASV_246,0,0,4,0
ASV_247,0,0,4,0
ASV_248,0,0,3,0
ASV_249,0,0,3,0
ASV_250,0,0,0,3
ASV_251,0,0,0,3
ASV_252,0,0,0,3
ASV_253,0,0,0,3
ASV_254,0,0,2,0
ASV_255,0,0,0,2
ASV_256,0,0,0,2
